date, aqi
2020/12/1, 54
2020/12/2, 56
2020/12/3, 59
2020/11/1, 57
2020/11/2, 53
2020/11/3, 54
2020/11/4, 48
2020/11/5, 58
2020/11/6, 64
2020/11/7, 66
2020/11/8, 71
2020/11/9, 57
2020/11/10, 60
2020/11/11, 58
2020/11/12, 70
2020/11/13, 68
2020/11/14, 58
2020/11/15, 64
2020/11/16, 50
2020/11/17, 51
2020/11/18, 40
2020/11/19, 52
2020/11/20, 54
2020/11/21, 50
2020/11/22, 44
2020/11/23, 43
2020/11/24, 55
2020/11/25, 39
2020/11/26, 60
2020/11/27, 57
2020/11/28, 44
2020/11/29, 51
2020/11/30, 57
2020/10/1, 52
2020/10/2, 46
2020/10/3, 45
2020/10/4, 57
2020/10/5, 67
2020/10/6, 68
2020/10/7, 61
2020/10/8, 41
2020/10/9, 44
2020/10/10, 57
2020/10/11, 50
2020/10/12, 62
2020/10/13, 48
2020/10/14, 58
2020/10/15, 70
2020/10/16, 60
2020/10/17, 64
2020/10/18, 73
2020/10/19, 70
2020/10/20, 72
2020/10/21, 69
2020/10/22, 61
2020/10/23, 56
2020/10/24, 58
2020/10/25, 52
2020/10/26, 45
2020/10/27, 60
2020/10/28, 78
2020/10/29, 70
2020/10/30, 68
2020/10/31, 64
2020/9/1, 64
2020/9/2, 57
2020/9/3, 55
2020/9/4, 62
2020/9/5, 54
2020/9/6, 54
2020/9/7, 75
2020/9/8, 67
2020/9/9, 60
2020/9/10, 59
2020/9/11, 60
2020/9/12, 64
2020/9/14, 60
2020/9/15, 54
2020/9/16, 49
2020/9/17, 57
2020/9/18, 66
2020/9/19, 48
2020/9/20, 49
2020/9/21, 49
2020/9/22, 50
2020/9/23, 47
2020/9/24, 49
2020/9/25, 55
2020/9/26, 57
2020/9/27, 44
2020/9/28, 59
2020/9/29, 59
2020/9/30, 58
2020/8/1, 49
2020/8/2, 47
2020/8/3, 64
2020/8/4, 56
2020/8/5, 46
2020/8/6, 62
2020/8/7, 61
2020/8/8, 78
2020/8/9, 76
2020/8/10, 77
2020/8/11, 79
2020/8/12, 69
2020/8/13, 58
2020/8/14, 54
2020/8/15, 60
2020/8/16, 67
2020/8/17, 57
2020/8/18, 59
2020/8/19, 57
2020/8/20, 69
2020/8/21, 61
2020/8/22, 65
2020/8/23, 66
2020/8/24, 59
2020/8/25, 63
2020/8/26, 55
2020/8/27, 55
2020/8/28, 62
2020/8/29, 74
2020/8/30, 72
2020/8/31, 68
2020/7/1, 60
2020/7/2, 58
2020/7/3, 46
2020/7/4, 42
2020/7/5, 49
2020/7/6, 45
2020/7/7, 41
2020/7/8, 44
2020/7/9, 47
2020/7/10, 43
2020/7/11, 51
2020/7/12, 56
2020/7/13, 48
2020/7/14, 49
2020/7/15, 52
2020/7/16, 59
2020/7/17, 57
2020/7/18, 65
2020/7/19, 56
2020/7/20, 60
2020/7/21, 57
2020/7/22, 54
2020/7/23, 57
2020/7/24, 66
2020/7/25, 61
2020/7/26, 56
2020/7/27, 56
2020/7/28, 62
2020/7/29, 66
2020/7/30, 74
2020/7/31, 69
2020/6/1, 49
2020/6/2, 50
2020/6/3, 54
2020/6/4, 54
2020/6/5, 50
2020/6/6, 43
2020/6/7, 50
2020/6/8, 58
2020/6/9, 61
2020/6/10, 56
2020/6/11, 47
2020/6/12, 49
2020/6/13, 45
2020/6/14, 50
2020/6/15, 58
2020/6/16, 65
2020/6/17, 63
2020/6/18, 60
2020/6/19, 41
2020/6/20, 46
2020/6/21, 43
2020/6/22, 41
2020/6/23, 45
2020/6/24, 26
2020/6/25, 33
2020/6/26, 37
2020/6/27, 54
2020/6/28, 56
2020/6/29, 46
2020/6/30, 57
2020/5/1, 47
2020/5/2, 49
2020/5/3, 48
2020/5/4, 43
2020/5/5, 51
2020/5/6, 51
2020/5/7, 54
2020/5/8, 55
2020/5/9, 54
2020/5/10, 55
2020/5/11, 53
2020/5/12, 48
2020/5/13, 42
2020/5/14, 47
2020/5/15, 56
2020/5/16, 47
2020/5/17, 39
2020/5/18, 36
2020/5/19, 53
2020/5/20, 56
2020/5/21, 55
2020/5/22, 55
2020/5/23, 55
2020/5/24, 63
2020/5/25, 62
2020/5/26, 57
2020/5/27, 54
2020/5/28, 55
2020/5/29, 52
2020/5/30, 52
2020/5/31, 46
2020/4/1, 54
2020/4/2, 59
2020/4/3, 48
2020/4/4, 32
2020/4/5, 33
2020/4/6, 35
2020/4/7, 31
2020/4/8, 42
2020/4/9, 52
2020/4/10, 54
2020/4/11, 55
2020/4/12, 54
2020/4/13, 53
2020/4/14, 52
2020/4/15, 59
2020/4/16, 57
2020/4/17, 58
2020/4/18, 65
2020/4/19, 61
2020/4/20, 60
2020/4/21, 61
2020/4/22, 54
2020/4/23, 32
2020/4/24, 31
2020/4/25, 35
2020/4/26, 39
2020/4/27, 35
2020/4/28, 36
2020/4/29, 32
2020/4/30, 32
2020/3/1, 70
2020/3/2, 61
2020/3/3, 58
2020/3/4, 65
2020/3/5, 69
2020/3/6, 58
2020/3/7, 54
2020/3/8, 58
2020/3/9, 58
2020/3/10, 58
2020/3/11, 57
2020/3/12, 57
2020/3/13, 56
2020/3/14, 56
2020/3/15, 45
2020/3/16, 37
2020/3/17, 44
2020/3/18, 57
2020/3/19, 54
2020/3/20, 61
2020/3/21, 61
2020/3/22, 49
2020/3/23, 53
2020/3/24, 44
2020/3/25, 38
2020/3/26, 46
2020/3/27, 51
2020/3/28, 53
2020/3/29, 54
2020/3/30, 53
2020/3/31, 49
2020/2/1, 41
2020/2/2, 44
2020/2/3, 57
2020/2/4, 58
2020/2/5, 58
2020/2/6, 57
2020/2/7, 58
2020/2/8, 61
2020/2/9, 66
2020/2/10, 52
2020/2/11, 40
2020/2/12, 27
2020/2/13, 30
2020/2/14, 53
2020/2/15, 45
2020/2/16, 43
2020/2/17, 49
2020/2/18, 45
2020/2/19, 38
2020/2/20, 53
2020/2/21, 49
2020/2/22, 46
2020/2/23, 37
2020/2/24, 50
2020/2/25, 51
2020/2/26, 55
2020/2/27, 55
2020/2/28, 52
2020/2/29, 55
2020/1/1, 53
2020/1/2, 53
2020/1/3, 53
2020/1/4, 53
2020/1/5, 53
2020/1/6, 53
2020/1/7, 53
2020/1/8, 53
2020/1/9, 53
2020/1/10, 53
2020/1/11, 53
2020/1/12, 53
2020/1/13, 53
2020/1/14, 53
2020/1/15, 53
2020/1/16, 53
2020/1/17, 53
2020/1/18, 57
2020/1/26, 66
2020/1/27, 61
2020/1/28, 61
2020/1/29, 52
2020/1/30, 33
2020/1/31, 49
2019/10/1, 59
2019/10/2, 66
2019/10/3, 74
2019/10/4, 73
2019/10/5, 63
2019/10/6, 64
2019/10/7, 68
2019/10/8, 60
2019/10/9, 55
2019/10/10, 57
2019/10/11, 65
2019/10/12, 64
2019/10/13, 62
2019/10/14, 63
2019/10/15, 63
2019/10/16, 67
2019/10/17, 75
2019/10/18, 56
2019/10/19, 53
2019/10/20, 54
2019/10/21, 53
2019/10/22, 50
2019/10/23, 52
2019/10/24, 59
2019/10/25, 62
2019/10/26, 59
2019/10/27, 50
2019/10/28, 46
2019/10/29, 47
2019/10/30, 54
2019/10/31, 56
2019/11/1, 43
2019/11/2, 54
2019/11/3, 56
2019/11/4, 62
2019/11/5, 60
2019/11/6, 58
2019/11/7, 68
2019/11/8, 61
2019/11/9, 53
2019/11/10, 54
2019/11/11, 55
2019/11/12, 57
2019/11/13, 62
2019/11/14, 63
2019/11/15, 57
2019/11/16, 56
2019/11/17, 51
2019/11/18, 54
2019/11/19, 59
2019/11/20, 55
2019/11/21, 53
2019/11/22, 49
2019/11/23, 48
2019/11/24, 49
2019/11/25, 53
2019/11/26, 44
2019/11/27, 44
2019/11/28, 39
2019/11/29, 44
2019/11/30, 35
2019/12/1, 49
2019/12/2, 38
2019/12/3, 45
2019/12/4, 51
2019/12/5, 53
2019/12/6, 56
2019/12/7, 56
2019/12/8, 56
2019/12/9, 52
2019/12/10, 53
2019/12/11, 45
2019/12/12, 41
2019/12/13, 55
2019/12/14, 55
2019/12/15, 41
2019/12/16, 35
2019/12/17, 49
2019/12/18, 53
2019/12/19, 53
2019/12/20, 53
2019/12/21, 53
2019/12/22, 53
2019/12/23, 53
2019/12/24, 53
2019/12/25, 53
2019/12/26, 53
2019/12/27, 53
2019/12/28, 53
2019/12/29, 53
2019/7/1, 67
2019/7/2, 67
2019/7/3, 68
2019/7/4, 76
2019/7/5, 70
2019/7/6, 68
2019/7/7, 58
2019/7/8, 54
2019/7/9, 53
2019/7/10, 56
2019/7/11, 60
2019/7/12, 61
2019/7/13, 64
2019/7/14, 70
2019/7/15, 61
2019/7/16, 60
2019/7/17, 64
2019/7/18, 64
2019/7/19, 59
2019/7/20, 60
2019/7/21, 68
2019/7/22, 70
2019/7/23, 60
2019/7/24, 54
2019/7/25, 63
2019/7/26, 64
2019/7/27, 71
2019/7/28, 73
2019/7/29, 68
2019/7/30, 72
2019/7/31, 72
2019/8/1, 84
2019/8/2, 74
2019/8/3, 73
2019/8/4, 69
2019/8/5, 71
2019/8/6, 78
2019/8/7, 81
2019/8/8, 82
2019/8/9, 77
2019/8/10, 84
2019/8/11, 88
2019/8/12, 75
2019/8/13, 65
2019/8/14, 70
2019/8/15, 64
2019/8/16, 60
2019/8/17, 77
2019/8/18, 84
2019/8/19, 77
2019/8/20, 77
2019/8/21, 73
2019/8/22, 66
2019/8/23, 81
2019/8/24, 69
2019/8/25, 75
2019/8/26, 64
2019/8/27, 67
2019/8/28, 62
2019/8/29, 55
