date, aqi
2020/12/1, 64
2020/12/2, 52
2020/11/1, 52
2020/11/2, 44
2020/11/3, 50
2020/11/4, 51
2020/11/5, 53
2020/11/6, 61
2020/11/7, 56
2020/11/8, 53
2020/11/9, 51
2020/11/10, 52
2020/11/11, 58
2020/11/12, 56
2020/11/13, 58
2020/11/14, 57
2020/11/15, 58
2020/11/16, 41
2020/11/17, 50
2020/11/18, 48
2020/11/19, 51
2020/11/20, 48
2020/11/21, 59
2020/11/22, 41
2020/11/23, 34
2020/11/24, 48
2020/11/25, 46
2020/11/26, 56
2020/11/27, 55
2020/11/28, 58
2020/11/29, 50
2020/11/30, 64
2020/10/1, 54
2020/10/2, 46
2020/10/3, 45
2020/10/4, 61
2020/10/5, 65
2020/10/6, 63
2020/10/7, 69
2020/10/8, 48
2020/10/9, 47
2020/10/10, 54
2020/10/11, 48
2020/10/12, 43
2020/10/13, 46
2020/10/14, 57
2020/10/15, 58
2020/10/16, 63
2020/10/17, 57
2020/10/18, 59
2020/10/19, 55
2020/10/20, 65
2020/10/21, 61
2020/10/22, 53
2020/10/23, 50
2020/10/24, 51
2020/10/25, 59
2020/10/26, 48
2020/10/27, 53
2020/10/28, 55
2020/10/29, 56
2020/10/30, 59
2020/10/31, 60
2020/9/1, 55
2020/9/2, 57
2020/9/3, 53
2020/9/4, 55
2020/9/5, 46
2020/9/6, 52
2020/9/7, 58
2020/9/8, 60
2020/9/9, 61
2020/9/10, 52
2020/9/11, 51
2020/9/12, 53
2020/9/14, 54
2020/9/15, 53
2020/9/16, 57
2020/9/17, 60
2020/9/18, 67
2020/9/19, 51
2020/9/20, 50
2020/9/21, 41
2020/9/22, 51
2020/9/23, 51
2020/9/24, 50
2020/9/25, 54
2020/9/26, 46
2020/9/27, 41
2020/9/28, 53
2020/9/29, 56
2020/9/30, 53
2020/8/1, 52
2020/8/2, 49
2020/8/3, 56
2020/8/4, 60
2020/8/5, 55
2020/8/6, 58
2020/8/7, 64
2020/8/8, 62
2020/8/9, 57
2020/8/10, 58
2020/8/11, 60
2020/8/12, 65
2020/8/13, 55
2020/8/14, 58
2020/8/15, 61
2020/8/16, 66
