date, aqi
2020/12/1, 54
2020/12/2, 64
2020/11/1, 34
2020/11/2, 32
2020/11/3, 24
2020/11/4, 23
2020/11/5, 26
2020/11/6, 39
2020/11/7, 35
2020/11/8, 35
2020/11/9, 40
2020/11/10, 33
2020/11/11, 39
2020/11/12, 41
2020/11/13, 35
2020/11/14, 34
2020/11/15, 29
2020/11/16, 18
2020/11/17, 25
2020/11/18, 29
2020/11/19, 35
2020/11/20, 38
2020/11/21, 25
2020/11/22, 24
2020/11/23, 27
2020/11/24, 35
2020/11/25, 28
2020/11/26, 23
2020/11/27, 25
2020/11/28, 24
2020/11/29, 32
2020/11/30, 50
2020/10/1, 30
2020/10/2, 44
2020/10/3, 32
2020/10/4, 34
2020/10/5, 55
2020/10/6, 54
2020/10/7, 49
2020/10/8, 34
2020/10/9, 28
2020/10/10, 27
2020/10/11, 34
2020/10/12, 30
2020/10/13, 35
2020/10/14, 51
2020/10/15, 50
2020/10/16, 52
2020/10/17, 58
2020/10/18, 53
2020/10/19, 42
2020/10/20, 51
2020/10/21, 57
2020/10/22, 47
2020/10/23, 30
2020/10/24, 50
2020/10/25, 38
2020/10/26, 33
2020/10/27, 42
2020/10/28, 55
2020/10/29, 43
2020/10/30, 37
2020/10/31, 31
2020/9/1, 44
2020/9/2, 37
2020/9/3, 24
2020/9/4, 21
2020/9/5, 26
2020/9/6, 22
2020/9/7, 36
2020/9/8, 41
2020/9/9, 25
2020/9/10, 25
2020/9/11, 27
2020/9/12, 26
2020/9/14, 34
2020/9/15, 34
2020/9/16, 41
2020/9/17, 39
2020/9/18, 49
2020/9/19, 51
2020/9/20, 51
2020/9/21, 46
2020/9/22, 25
2020/9/23, 30
2020/9/24, 35
2020/9/25, 41
2020/9/26, 30
2020/9/27, 27
2020/9/28, 33
2020/9/29, 25
2020/9/30, 23
2020/8/1, 53
2020/8/2, 56
2020/8/3, 52
2020/8/4, 40
2020/8/5, 27
2020/8/6, 35
2020/8/7, 37
2020/8/8, 37
2020/8/9, 46
2020/8/10, 56
2020/8/11, 55
2020/8/12, 54
2020/8/13, 37
2020/8/14, 33
2020/8/15, 31
2020/8/16, 29
2020/8/17, 37
2020/8/18, 42
2020/8/19, 51
2020/8/20, 65
2020/8/21, 35
2020/8/22, 34
2020/8/23, 29
2020/8/24, 27
2020/8/25, 29
2020/8/26, 27
2020/8/27, 26
2020/8/28, 43
2020/8/29, 42
2020/8/30, 33
2020/8/31, 26
2020/7/1, 33
2020/7/2, 25
2020/7/3, 21
2020/7/4, 26
2020/7/5, 26
2020/7/6, 28
2020/7/7, 27
2020/7/8, 29
2020/7/9, 39
2020/7/10, 26
2020/7/11, 29
2020/7/12, 25
2020/7/13, 24
2020/7/14, 21
2020/7/15, 22
2020/7/16, 22
2020/7/17, 26
2020/7/18, 30
2020/7/19, 28
2020/7/20, 26
2020/7/21, 24
2020/7/22, 29
2020/7/23, 32
2020/7/24, 29
2020/7/25, 17
2020/7/26, 25
2020/7/27, 39
2020/7/28, 30
