date, aqi
2020/12/1, 77
2020/12/2, 65
2020/11/1, 58
2020/11/2, 52
2020/11/3, 60
2020/11/4, 62
2020/11/5, 67
2020/11/6, 68
2020/11/7, 68
2020/11/8, 60
2020/11/9, 57
2020/11/10, 62
2020/11/11, 70
2020/11/12, 81
2020/11/13, 88
2020/11/14, 71
2020/11/15, 73
2020/11/16, 63
2020/11/17, 67
2020/11/18, 62
2020/11/19, 68
2020/11/20, 75
2020/11/21, 79
2020/11/22, 55
2020/11/23, 59
2020/11/24, 69
2020/11/25, 61
2020/11/26, 66
2020/11/27, 69
2020/11/28, 77
2020/11/29, 64
2020/11/30, 69
2020/10/1, 56
2020/10/2, 48
2020/10/3, 50
2020/10/4, 56
2020/10/5, 62
2020/10/6, 63
2020/10/7, 65
2020/10/8, 46
2020/10/9, 48
2020/10/10, 57
2020/10/11, 50
2020/10/12, 49
2020/10/13, 40
2020/10/14, 56
2020/10/15, 61
2020/10/16, 56
2020/10/17, 56
2020/10/18, 57
2020/10/19, 58
2020/10/20, 66
2020/10/21, 60
2020/10/22, 54
2020/10/23, 51
2020/10/24, 53
2020/10/25, 57
2020/10/26, 50
2020/10/27, 68
2020/10/28, 63
2020/10/29, 69
2020/10/30, 74
2020/10/31, 71
2020/9/1, 65
2020/9/2, 66
2020/9/3, 57
2020/9/4, 57
2020/9/5, 53
2020/9/6, 50
2020/9/7, 57
2020/9/8, 60
2020/9/9, 57
2020/9/10, 55
2020/9/11, 55
2020/9/12, 56
2020/9/14, 51
2020/9/15, 56
2020/9/16, 58
2020/9/17, 59
2020/9/18, 66
2020/9/19, 46
2020/9/20, 48
2020/9/21, 49
2020/9/22, 56
2020/9/23, 56
2020/9/24, 52
2020/9/25, 53
2020/9/26, 52
2020/9/27, 44
2020/9/28, 50
2020/9/29, 55
2020/9/30, 55
2020/8/1, 53
2020/8/2, 52
2020/8/3, 56
2020/8/4, 58
2020/8/5, 48
2020/8/6, 57
2020/8/7, 59
2020/8/8, 60
2020/8/9, 60
2020/8/10, 62
2020/8/11, 62
2020/8/12, 63
2020/8/13, 59
2020/8/14, 54
2020/8/15, 61
2020/8/16, 65
2020/8/17, 57
2020/8/18, 59
2020/8/19, 64
2020/8/20, 72
2020/8/21, 62
2020/8/22, 60
2020/8/23, 68
2020/8/24, 62
2020/8/25, 60
2020/8/26, 55
2020/8/27, 53
2020/8/28, 59
2020/8/29, 62
2020/8/30, 63
2020/8/31, 59
2020/7/1, 68
2020/7/2, 65
2020/7/3, 52
2020/7/4, 58
2020/7/5, 55
2020/7/6, 62
2020/7/7, 56
2020/7/8, 56
2020/7/9, 63
2020/7/10, 59
2020/7/11, 66
2020/7/12, 66
2020/7/13, 55
2020/7/14, 57
2020/7/15, 67
2020/7/16, 56
2020/7/17, 57
2020/7/18, 63
2020/7/19, 57
2020/7/20, 66
2020/7/21, 63
2020/7/22, 61
2020/7/23, 62
2020/7/24, 63
2020/7/25, 60
2020/7/26, 55
2020/7/27, 55
2020/7/28, 60
2020/7/29, 62
2020/7/30, 71
2020/7/31, 61
2020/6/1, 53
2020/6/2, 53
2020/6/3, 57
2020/6/4, 56
2020/6/5, 54
2020/6/6, 50
2020/6/7, 58
2020/6/8, 54
2020/6/9, 58
2020/6/10, 56
2020/6/11, 56
2020/6/12, 53
2020/6/13, 52
2020/6/14, 53
2020/6/15, 54
2020/6/16, 59
2020/6/17, 64
2020/6/18, 58
2020/6/19, 54
2020/6/20, 57
2020/6/21, 53
2020/6/22, 52
2020/6/23, 51
2020/6/24, 47
2020/6/25, 54
2020/6/26, 60
2020/6/27, 68
2020/6/28, 67
2020/6/29, 57
2020/6/30, 63
2020/5/1, 43
2020/5/2, 49
2020/5/3, 40
2020/5/4, 47
2020/5/5, 51
2020/5/6, 52
2020/5/7, 54
2020/5/8, 59
2020/5/9, 56
2020/5/10, 53
2020/5/11, 54
2020/5/12, 52
2020/5/13, 44
2020/5/14, 47
2020/5/15, 53
2020/5/16, 54
2020/5/17, 43
2020/5/18, 47
2020/5/19, 55
2020/5/20, 56
2020/5/21, 54
2020/5/22, 55
2020/5/23, 58
2020/5/24, 60
2020/5/25, 57
2020/5/26, 56
2020/5/27, 56
2020/5/28, 58
2020/5/29, 58
2020/5/30, 57
2020/5/31, 54
2020/4/1, 56
2020/4/2, 60
2020/4/3, 52
2020/4/4, 51
2020/4/5, 41
2020/4/6, 38
2020/4/7, 41
2020/4/8, 50
2020/4/9, 56
2020/4/10, 57
2020/4/11, 57
2020/4/12, 58
2020/4/13, 54
2020/4/14, 54
2020/4/15, 56
2020/4/16, 55
2020/4/17, 57
2020/4/18, 57
2020/4/19, 56
2020/4/20, 60
2020/4/21, 56
2020/4/22, 56
2020/4/23, 42
2020/4/24, 31
2020/4/25, 37
2020/4/26, 39
2020/4/27, 31
2020/4/28, 45
2020/4/29, 39
2020/4/30, 38
2020/3/1, 61
2020/3/2, 61
2020/3/3, 65
2020/3/4, 65
2020/3/5, 63
2020/3/6, 64
2020/3/7, 62
2020/3/8, 62
2020/3/9, 57
2020/3/10, 57
2020/3/11, 58
2020/3/12, 60
2020/3/13, 64
2020/3/14, 67
2020/3/15, 58
2020/3/16, 53
2020/3/17, 56
2020/3/18, 55
2020/3/19, 55
2020/3/20, 57
2020/3/21, 60
2020/3/22, 57
2020/3/23, 56
2020/3/24, 53
2020/3/25, 52
2020/3/26, 48
2020/3/27, 50
2020/3/28, 55
2020/3/29, 54
2020/3/30, 53
2020/3/31, 52
2020/2/1, 54
2020/2/2, 49
2020/2/3, 55
2020/2/4, 58
2020/2/5, 62
2020/2/6, 61
2020/2/7, 62
2020/2/8, 65
2020/2/9, 65
2020/2/10, 54
2020/2/11, 56
2020/2/12, 63
2020/2/13, 61
2020/2/14, 58
2020/2/15, 55
2020/2/16, 53
2020/2/17, 57
2020/2/18, 55
2020/2/19, 49
2020/2/20, 61
2020/2/21, 55
2020/2/22, 50
2020/2/23, 45
2020/2/24, 48
2020/2/25, 56
2020/2/26, 61
2020/2/27, 57
2020/2/28, 53
2020/2/29, 54
2020/1/1, 59
2020/1/2, 59
2020/1/3, 59
2020/1/4, 59
2020/1/5, 59
2020/1/6, 59
2020/1/7, 59
2020/1/8, 59
2020/1/9, 59
2020/1/10, 59
2020/1/11, 59
2020/1/12, 59
2020/1/13, 59
2020/1/14, 59
2020/1/15, 59
2020/1/16, 59
2020/1/17, 59
2020/1/18, 62
2020/1/26, 62
2020/1/27, 59
2020/1/28, 58
2020/1/29, 56
2020/1/30, 46
2020/1/31, 52
2019/10/1, 62
2019/10/2, 71
2019/10/3, 82
2019/10/4, 79
2019/10/5, 64
2019/10/6, 62
2019/10/7, 64
