date, pm10
2020/12/1, 10
2020/12/2, 8
2020/11/1, 11
2020/11/5, 10
2020/11/6, 9
2020/11/7, 9
2020/11/8, 5
2020/11/9, 6
2020/11/10, 6
2020/11/11, 21
2020/11/12, 9
2020/11/13, 8
2020/11/14, 9
2020/11/15, 6
2020/11/16, 6
2020/11/17, 7
2020/11/18, 7
2020/11/19, 4
2020/11/20, 5
2020/11/21, 5
2020/11/22, 6
2020/11/23, 3
2020/11/24, 6
2020/11/25, 17
2020/11/26, 6
2020/11/27, 16
2020/11/28, 20
2020/11/29, 9
2020/11/30, 10
2020/10/3, 27
2020/10/4, 12
2020/10/5, 15
2020/10/6, 18
2020/10/7, 17
2020/10/8, 10
2020/10/9, 6
2020/10/10, 7
2020/10/11, 13
2020/10/12, 8
2020/10/13, 12
2020/10/14, 7
2020/10/15, 8
2020/10/16, 10
2020/10/17, 9
2020/10/18, 11
2020/10/19, 11
2020/10/20, 9
2020/10/21, 12
2020/10/22, 10
2020/10/23, 8
2020/10/24, 7
2020/10/25, 8
2020/10/26, 5
2020/10/27, 8
2020/10/28, 8
2020/10/29, 8
2020/10/30, 6
2020/10/31, 8
2020/8/1, 13
2020/8/2, 16
2020/8/3, 17
2020/8/4, 21
2020/8/5, 8
2020/8/6, 14
2020/8/7, 16
2020/8/8, 24
2020/8/9, 20
2020/8/10, 24
2020/8/11, 19
2020/8/12, 12
2020/8/13, 20
2020/8/14, 21
2020/8/15, 16
2020/8/16, 18
2020/8/17, 16
2020/8/18, 19
2020/8/19, 5
2020/7/1, 16
2020/7/2, 12
2020/7/3, 13
2020/7/4, 13
2020/7/5, 13
2020/7/6, 19
2020/7/7, 12
2020/7/8, 8
2020/7/9, 5
2020/7/10, 14
2020/7/11, 15
2020/7/12, 13
2020/7/13, 12
2020/7/14, 8
2020/7/15, 18
2020/7/16, 11
2020/7/17, 17
2020/7/18, 11
2020/7/19, 15
2020/7/20, 7
2020/7/22, 11
2020/7/23, 12
2020/7/24, 20
2020/7/25, 16
2020/7/26, 13
2020/7/27, 10
2020/7/28, 15
2020/7/29, 17
2020/7/30, 18
2020/7/31, 11
2020/6/1, 24
2020/6/2, 29
2020/6/3, 18
2020/6/4, 32
2020/6/5, 17
2020/6/6, 11
2020/6/7, 9
2020/6/8, 10
2020/6/9, 7
2020/6/10, 8
2020/6/11, 13
2020/6/12, 10
2020/6/13, 10
2020/6/14, 18
2020/6/15, 16
2020/6/16, 15
2020/6/17, 12
2020/6/18, 11
2020/6/19, 15
2020/6/20, 15
2020/6/21, 12
2020/6/22, 18
2020/6/23, 8
2020/6/24, 5
2020/5/1, 21
2020/5/2, 6
2020/5/3, 13
2020/5/4, 11
2020/5/5, 11
2020/5/6, 13
2020/5/7, 13
2020/5/8, 14
2020/5/9, 12
2020/5/10, 17
2020/5/11, 10
2020/5/12, 9
2020/5/13, 15
2020/5/14, 10
2020/5/15, 6
2020/5/16, 12
2020/5/17, 2
2020/5/18, 14
2020/5/19, 17
2020/5/20, 10
2020/5/21, 27
2020/5/22, 12
2020/5/23, 17
2020/5/24, 14
2020/5/25, 12
2020/5/26, 17
2020/5/27, 13
2020/5/28, 12
2020/5/29, 15
2020/5/30, 32
2020/5/31, 24
2020/4/1, 11
2020/4/2, 15
2020/4/3, 14
2020/4/4, 14
2020/4/5, 9
2020/4/6, 8
2020/4/7, 10
2020/4/8, 10
2020/4/9, 14
2020/4/10, 12
2020/4/11, 11
2020/4/12, 12
2020/4/13, 9
2020/4/14, 12
2020/4/15, 11
2020/4/16, 12
2020/4/17, 9
2020/4/18, 7
2020/4/19, 11
2020/4/20, 19
2020/4/21, 9
2020/4/22, 12
2020/4/23, 14
2020/4/24, 11
2020/4/25, 11
2020/4/26, 11
2020/4/27, 18
2020/4/28, 6
2020/4/29, 11
2020/4/30, 10
2020/3/1, 13
2020/3/2, 14
2020/3/3, 12
2020/3/4, 14
2020/3/5, 8
2020/3/6, 13
2020/3/9, 14
2020/3/10, 17
2020/3/11, 18
2020/3/12, 19
2020/3/13, 14
2020/3/14, 16
2020/3/15, 18
2020/3/16, 14
2020/3/17, 19
2020/3/18, 15
2020/3/19, 11
2020/3/20, 25
2020/3/21, 18
2020/3/22, 14
2020/3/23, 2
2020/3/24, 20
2020/3/25, 12
2020/3/26, 14
2020/3/27, 8
2020/3/28, 9
2020/3/29, 10
2020/3/30, 13
2020/3/31, 11
2020/2/1, 14
2020/2/2, 12
2020/2/3, 15
2020/2/4, 14
2020/2/5, 11
2020/2/6, 12
2020/2/7, 12
2020/2/8, 8
2020/2/9, 10
2020/2/10, 12
2020/2/11, 3
2020/2/12, 16
2020/2/13, 12
2020/2/14, 16
2020/2/15, 14
2020/2/16, 13
2020/2/17, 7
2020/2/18, 10
2020/2/19, 14
2020/2/20, 13
