date, aqi
2020/12/1, 68
2020/12/2, 60
2020/11/1, 53
2020/11/2, 46
2020/11/3, 57
2020/11/4, 54
2020/11/5, 62
2020/11/6, 69
2020/11/7, 62
2020/11/8, 59
2020/11/9, 52
2020/11/10, 52
2020/11/11, 56
2020/11/12, 65
2020/11/13, 81
2020/11/14, 66
2020/11/15, 62
2020/11/16, 54
2020/11/17, 57
2020/11/18, 49
2020/11/19, 52
2020/11/20, 56
2020/11/21, 63
2020/11/22, 50
2020/11/23, 43
2020/11/24, 53
2020/11/25, 48
2020/11/26, 61
2020/11/27, 55
2020/11/28, 55
2020/11/29, 47
2020/11/30, 62
2020/10/1, 57
2020/10/2, 47
2020/10/3, 48
2020/10/4, 59
2020/10/5, 68
2020/10/6, 65
2020/10/7, 69
2020/10/8, 44
2020/10/9, 48
2020/10/10, 55
2020/10/11, 35
2020/10/12, 49
2020/10/13, 42
2020/10/14, 54
2020/10/15, 61
2020/10/16, 55
2020/10/17, 57
2020/10/18, 61
2020/10/19, 59
2020/10/20, 65
2020/10/21, 60
2020/10/22, 56
2020/10/23, 49
2020/10/24, 50
2020/10/25, 59
2020/10/26, 43
2020/10/27, 54
2020/10/28, 61
2020/10/29, 64
2020/10/30, 66
2020/10/31, 67
2020/9/1, 57
2020/9/2, 54
2020/9/3, 57
2020/9/4, 57
2020/9/5, 53
2020/9/6, 55
2020/9/7, 61
2020/9/8, 66
2020/9/9, 57
2020/9/10, 57
2020/9/11, 55
2020/9/12, 56
2020/9/14, 47
2020/9/15, 53
2020/9/16, 54
2020/9/17, 60
2020/9/18, 64
2020/9/19, 47
2020/9/20, 45
2020/9/21, 53
2020/9/22, 51
2020/9/23, 52
2020/9/24, 55
2020/9/25, 57
2020/9/26, 56
2020/9/27, 45
2020/9/28, 56
2020/9/29, 60
2020/9/30, 58
2020/8/1, 54
2020/8/2, 46
2020/8/3, 58
2020/8/4, 55
2020/8/5, 43
2020/8/6, 55
2020/8/7, 58
2020/8/8, 63
2020/8/9, 64
2020/8/10, 64
2020/8/11, 64
2020/8/12, 64
2020/8/13, 60
2020/8/14, 55
2020/8/15, 62
2020/8/16, 64
2020/8/17, 58
2020/8/18, 58
2020/8/19, 61
2020/8/20, 74
2020/8/21, 63
2020/8/22, 62
2020/8/23, 63
2020/8/24, 56
2020/8/25, 63
2020/8/26, 57
2020/8/27, 51
2020/8/28, 57
2020/8/29, 67
2020/8/30, 65
2020/8/31, 61
2020/7/1, 65
2020/7/2, 66
2020/7/3, 56
2020/7/4, 58
2020/7/5, 54
2020/7/6, 58
2020/7/7, 57
2020/7/8, 56
2020/7/9, 61
2020/7/10, 54
2020/7/11, 62
2020/7/12, 62
2020/7/13, 51
2020/7/14, 51
2020/7/15, 53
2020/7/16, 55
2020/7/17, 57
2020/7/18, 63
2020/7/19, 52
2020/7/20, 60
2020/7/21, 59
2020/7/22, 54
2020/7/23, 55
2020/7/24, 64
2020/7/25, 57
2020/7/26, 51
2020/7/27, 53
2020/7/28, 61
2020/7/29, 61
2020/7/30, 70
2020/7/31, 64
2020/6/1, 54
2020/6/2, 52
2020/6/3, 55
2020/6/4, 55
2020/6/5, 54
2020/6/6, 46
2020/6/7, 53
2020/6/8, 62
2020/6/9, 65
2020/6/10, 59
2020/6/11, 56
